A & N ISLANDS,2001,64
ANDHRA PRADESH,2001,3840
ASSAM,2001,2335
BIHAR,2001,4364
CHANDIGARH,2001,88
CHHATTISGARH,2001,4357
D & N HAVELI,2001,8
DAMAN & DIU,2001,23
DELHI,2001,1798
GOA,2001,108
GUJARAT,2001,2403
HARYANA,2001,2570
HIMACHAL PRADESH,2001,374
JAMMU & KASHMIR,2001,110
JHARKHAND,2001,2329
KARNATAKA,2001,1584
KERALA,2001,1421
LAKSHADWEEP,2001,0
MADHYA PRADESH,2001,11082
MAHARASHTRA,2001,5265
MANIPUR,2001,17
MEGHALAYA,2001,13
MIZORAM,2001,69
NAGALAND,2001,35
ORISSA,2001,2641
PONDICHERRY,2001,105
PUNJAB,2001,2509
RAJASTHAN,2001,3574
SIKKIM,2001,77
TAMILNADU,2001,4173
TRIPURA,2001,258
UTTAR PRADESH,2001,4195
UTTARANCHAL,2001,428
WEST BENGAL,2001,1927
A & N ISLANDS,2002,69
ANDHRA PRADESH,2002,4438
ASSAM,2002,2669
BIHAR,2002,4456
CHANDIGARH,2002,92
CHHATTISGARH,2002,4724
D & N HAVELI,2002,5
DAMAN & DIU,2002,13
DELHI,2002,1901
GOA,2002,110
GUJARAT,2002,2746
HARYANA,2002,2910
HIMACHAL PRADESH,2002,314
JAMMU & KASHMIR,2002,129
JHARKHAND,2002,2805
KARNATAKA,2002,2011
KERALA,2002,1267
LAKSHADWEEP,2002,2
MADHYA PRADESH,2002,10507
MAHARASHTRA,2002,5680
MANIPUR,2002,30
MEGHALAYA,2002,16
MIZORAM,2002,193
NAGALAND,2002,21
ORISSA,2002,2854
PONDICHERRY,2002,129
PUNJAB,2002,2723
RAJASTHAN,2002,4407
SIKKIM,2002,73
TAMILNADU,2002,5215
TRIPURA,2002,427
UTTAR PRADESH,2002,4362
UTTARANCHAL,2002,536
WEST BENGAL,2002,1914
A & N ISLANDS,2003,70
ANDHRA PRADESH,2003,4608
ASSAM,2003,3035
BIHAR,2003,4613
CHANDIGARH,2003,124
CHHATTISGARH,2003,4417
D & N HAVELI,2003,0
DAMAN & DIU,2003,13
DELHI,2003,1913
GOA,2003,111
GUJARAT,2003,2820
HARYANA,2003,3574
HIMACHAL PRADESH,2003,357
JAMMU & KASHMIR,2003,116
JHARKHAND,2003,4110
KARNATAKA,2003,2428
KERALA,2003,1705
LAKSHADWEEP,2003,0
MADHYA PRADESH,2003,11139
MAHARASHTRA,2003,6567
MANIPUR,2003,31
MEGHALAYA,2003,27
MIZORAM,2003,142
NAGALAND,2003,62
ORISSA,2003,3130
PONDICHERRY,2003,138
PUNJAB,2003,2926
RAJASTHAN,2003,5482
SIKKIM,2003,80
TAMILNADU,2003,5754
TRIPURA,2003,488
UTTAR PRADESH,2003,5376
UTTARANCHAL,2003,587
WEST BENGAL,2003,2616
A & N ISLANDS,2004,56
ANDHRA PRADESH,2004,4286
ASSAM,2004,3151
BIHAR,2004,5242
CHANDIGARH,2004,95
CHHATTISGARH,2004,4210
D & N HAVELI,2004,0
DAMAN & DIU,2004,8
DELHI,2004,2139
GOA,2004,113
GUJARAT,2004,3322
HARYANA,2004,3907
HIMACHAL PRADESH,2004,381
JAMMU & KASHMIR,2004,149
JHARKHAND,2004,4847
KARNATAKA,2004,2987
KERALA,2004,1734
LAKSHADWEEP,2004,0
MADHYA PRADESH,2004,11585
MAHARASHTRA,2004,6708
MANIPUR,2004,31
MEGHALAYA,2004,31
MIZORAM,2004,138
NAGALAND,2004,117
ORISSA,2004,3571
PONDICHERRY,2004,107
PUNJAB,2004,3303
RAJASTHAN,2004,5267
SIKKIM,2004,63
TAMILNADU,2004,6546
TRIPURA,2004,536
UTTAR PRADESH,2004,6146
UTTARANCHAL,2004,480
WEST BENGAL,2004,2862
A & N ISLANDS,2005,41
ANDHRA PRADESH,2005,4606
ASSAM,2005,3313
BIHAR,2005,5389
CHANDIGARH,2005,72
CHHATTISGARH,2005,3950
D & N HAVELI,2005,0
DAMAN & DIU,2005,11
DELHI,2005,2087
GOA,2005,98
GUJARAT,2005,3952
HARYANA,2005,4024
HIMACHAL PRADESH,2005,421
JAMMU & KASHMIR,2005,174
JHARKHAND,2005,5051
